# Harp string geometry
#
# Glossary:
#   SB     - Soundboard. The carbon-fiber plate the strings attach to at their
#            lower ends. Its line in this design is a cubic Bezier (see below).
#   Ng     - "N grommet". The point where a string passes through the SB
#            (the lower end of the string). One per string.
#   Nf     - "N flat". The point on a string corresponding to its FLAT length
#            (longest length, open string). This is the topmost point of the
#            string, at the tuning pin on the neck.
#   Nn     - "N natural". The point on a string corresponding to its NATURAL
#            length (the natural-pitch sounding length). Lies on the string
#            line between Ng and Nf.
#   Ns     - "N sharp". The point on a string corresponding to its SHARP
#            length (shortest, sharp-pitch sounding length). Closer to Ng
#            than Nn is.
#   Nf, Nn, Ns are colinear with Ng -- they are all points along the same
#   physical string. They differ only in distance from Ng.
#   Note: in the column headers, "Nf_flat", "Nf_nat", "Nf_sharp" are used as
#   verbose names for Nf, Nn, Ns respectively.
#
#   Rake   - The forward tilt of the strings (Nf is offset toward the player
#            relative to Ng). 7 degrees in this design.
#
# Coordinate system:
#   Origin at Ng of string 1 (C1 grommet on soundboard).
#   x_mm: horizontal across the front view, +x toward G7 (treble side).
#   y_mm: vertical, +y up (toward neck).
#   z_mm: front/back, +z toward player, -z toward column.
#
# SB curve: cubic Bezier, control points (in same coord frame):
#   P0 = (0.00,    0.00, 0)    # at C1g
#   P1 = (325.29,  971.14, 0)
#   P2 = (350.50, 1142.59, 0)
#   P3 = (643.29, 1477.00, 0)  # at G7g
#
# Construction:
#   Ng_i is the point where the vertical at x = xs[i] meets the SB Bezier.
#   String unit vector (from Ng toward Nf): (0, cos(rake), sin(rake)).
#   Nf_i = Ng_i + L_flat_i  * (string unit vector)
#   Nn_i = Ng_i + L_nat_i   * (string unit vector)
#   Ns_i = Ng_i + L_sharp_i * (string unit vector)
#
# Column meanings (selected):
#   sn               - serial number (1..47, C1..G7)
#   note             - musical note name
#   material         - string material
#   L_flat/nat/sharp_mm - sounding length in flat / natural / sharp state
#   f_flat/nat/sharp_Hz - sounding frequency in flat / natural / sharp state
#   OD_mm            - string outer diameter
#   core_d_mm        - core wire diameter (wound strings only)
#   core_frac        - core fraction (wound strings only)
#   mu_g_per_m       - linear mass density (g/m)
#   T_N, T_lb        - string tension in Newtons and pounds
#   TS_pct           - tension as a percent of tensile strength
#   center_spacing_mm- horizontal gap from this string's center to the next
#   Ng_x/y/z_mm      - grommet point coordinates
#   Nf_flat_x/y/z_mm - Nf  (flat / open) point coordinates
#   Nf_nat_x/y/z_mm  - Nn  (natural)     point coordinates
#   Nf_sharp_x/y/z_mm- Ns  (sharp)       point coordinates
#
sn,note,material,L_flat_mm,L_nat_mm,L_sharp_mm,f_flat_Hz,f_nat_Hz,f_sharp_Hz,OD_mm,core_d_mm,core_frac,mu_g_per_m,T_N,T_lb,TS_pct,center_spacing_mm,Ng_x_mm,Ng_y_mm,Ng_z_mm,Nf_flat_x_mm,Nf_flat_y_mm,Nf_flat_z_mm,Nf_nat_x_mm,Nf_nat_y_mm,Nf_nat_z_mm,Nf_sharp_x_mm,Nf_sharp_y_mm,Nf_sharp_z_mm
12,G2,wound_bass_steel_bronze,1154.8,1090.0,1028.8,92.50,98.00,103.83,0.86,0.53,0.62,4.899,223.8,50.3,50.0,14.36,155.500,469.582,0.000,155.500,1615.775,140.735,155.500,1551.458,132.838,155.500,1490.714,125.379
13,A2,gut,1107.1,1045.0,986.3,103.83,110.00,116.54,1.85,,,3.548,187.7,42.2,15.5,14.80,169.860,513.039,0.000,169.860,1611.886,134.922,169.860,1550.249,127.353,169.860,1491.987,120.200
14,B2,gut,1059.5,1000.0,943.9,116.54,123.47,130.81,1.75,,,3.175,193.5,43.5,17.9,14.75,184.660,557.682,0.000,184.660,1609.284,129.121,184.660,1550.228,121.869,184.660,1494.546,115.032
15,C3,gut,1006.5,950.0,896.7,123.47,130.81,138.59,1.75,,,3.175,196.1,44.1,18.1,14.70,199.410,601.959,0.000,199.410,1600.957,122.661,199.410,1544.878,115.776,199.410,1491.975,109.280
16,D3,gut,958.8,905.0,854.2,138.59,146.83,155.56,1.65,,,2.822,199.3,44.8,20.7,14.56,214.110,645.792,0.000,214.110,1597.446,116.848,214.110,1544.047,110.292,214.110,1493.625,104.101
17,E3,gut,911.1,860.0,811.7,155.56,164.81,174.61,1.47,,,2.240,180.2,40.5,23.6,14.47,228.670,688.826,0.000,228.670,1593.135,111.035,228.670,1542.416,104.808,228.670,1494.476,98.921
18,F3,gut,863.5,815.0,769.3,164.81,174.61,185.00,1.47,,,2.240,181.5,40.8,23.8,14.43,243.140,731.112,0.000,243.140,1588.176,105.234,243.140,1540.037,99.324,243.140,1494.678,93.754
19,G3,gut,815.8,770.0,726.8,185.00,196.00,207.65,1.40,,,2.032,185.0,41.6,26.7,14.36,257.570,772.688,0.000,257.570,1582.408,99.421,257.570,1536.949,93.839,257.570,1494.071,88.575
20,A3,gut,773.4,730.0,689.0,207.65,220.00,233.08,1.32,,,1.806,186.4,41.9,30.3,14.26,271.930,813.349,0.000,271.930,1580.984,94.254,271.930,1537.908,88.965,271.930,1497.214,83.968
21,B3,gut,741.6,700.0,660.7,233.08,246.94,261.63,1.19,,,1.468,175.3,39.4,35.1,14.19,286.190,852.891,0.000,286.190,1588.964,90.378,286.190,1547.674,85.309,286.190,1508.667,80.519
22,C4,gut,699.2,660.0,623.0,246.94,261.63,277.18,1.19,,,1.468,175.3,39.4,35.0,14.14,300.380,891.280,0.000,300.380,1585.269,85.211,300.380,1546.361,80.434,300.380,1509.637,75.925
23,D4,gut,662.2,625.0,589.9,277.18,293.66,311.13,1.09,,,1.232,165.9,37.3,39.5,14.05,314.520,928.455,0.000,314.520,1585.719,80.702,314.520,1548.797,76.168,314.520,1513.958,71.891
24,E4,gut,625.1,590.0,556.9,311.13,329.63,349.23,1.02,,,1.079,163.3,36.7,44.4,14.02,328.570,964.210,0.000,328.570,1584.651,76.181,328.570,1549.812,71.903,328.570,1516.959,67.869
25,F4,gut,588.0,555.0,523.9,329.63,349.23,369.99,1.02,,,1.079,161.9,36.4,44.1,13.99,342.590,998.615,0.000,342.590,1582.232,71.659,342.590,1549.478,67.637,342.590,1518.610,63.847
26,G4,gut,556.2,525.0,495.5,369.99,392.00,415.30,0.97,,,0.975,165.5,37.2,49.7,13.94,356.580,1031.603,0.000,356.580,1583.658,67.784,356.580,1552.690,63.981,356.580,1523.410,60.386
27,A4,gut,524.4,495.0,467.2,415.30,440.00,466.16,0.91,,,0.859,162.8,36.6,55.7,13.88,370.520,1063.093,0.000,370.520,1583.584,63.908,370.520,1554.403,60.325,370.520,1526.810,56.937
28,B4,gut,497.9,470.0,443.6,466.16,493.88,523.25,0.86,,,0.767,165.5,37.2,63.2,13.83,384.400,1093.060,0.000,384.400,1587.249,60.679,384.400,1559.557,57.279,384.400,1533.354,54.061
29,C5,gut,450.3,425.0,401.1,493.88,523.25,554.37,0.81,,,0.680,134.3,30.2,58.0,13.81,398.230,1121.555,0.000,398.230,1568.499,54.878,398.230,1543.387,51.794,398.230,1519.666,48.882
30,D5,gut,418.5,395.0,372.8,554.37,587.33,622.25,0.81,,,0.680,146.4,32.9,63.2,13.79,412.040,1148.687,0.000,412.040,1564.068,51.002,412.040,1540.743,48.138,412.040,1518.709,45.433
31,E5,gut,386.7,365.0,344.5,622.25,659.26,698.46,0.76,,,0.599,138.8,31.2,67.9,13.76,425.830,1174.520,0.000,425.830,1558.337,47.127,425.830,1536.799,44.482,425.830,1516.452,41.984
32,F5,gut,360.2,340.0,320.9,659.26,698.46,739.99,0.76,,,0.599,135.2,30.4,66.2,13.74,439.590,1199.113,0.000,439.590,1556.629,43.897,439.590,1536.579,41.436,439.590,1517.622,39.108
33,G5,fluorocarbon,339.0,320.0,302.0,739.99,783.99,830.61,0.71,,,0.713,179.2,40.3,82.4,13.68,453.330,1222.576,0.000,453.330,1559.049,41.314,453.330,1540.190,38.998,453.330,1522.325,36.805
34,A5,fluorocarbon,312.5,295.0,278.4,830.61,880.00,932.33,0.65,,,0.597,161.0,36.2,88.2,13.65,467.010,1244.934,0.000,467.010,1555.105,38.084,467.010,1537.735,35.951,467.010,1521.259,33.928
35,B5,fluorocarbon,286.1,270.0,254.8,932.33,987.77,1046.50,0.65,,,0.597,169.9,38.2,93.1,13.68,480.660,1266.336,0.000,480.660,1550.303,34.867,480.660,1534.323,32.905,480.660,1519.237,31.052
36,C6,nylon,254.3,240.0,226.5,987.77,1046.50,1108.73,0.71,,,0.451,113.9,25.6,57.5,13.68,494.340,1286.961,0.000,494.340,1539.365,30.991,494.340,1525.172,29.249,494.340,1511.772,27.603
37,D6,nylon,227.8,215.0,202.9,1108.73,1174.66,1244.51,0.65,,,0.378,96.5,21.7,58.2,13.65,508.020,1306.842,0.000,508.020,1532.944,27.762,508.020,1520.239,26.202,508.020,1508.230,24.727
38,E6,nylon,206.6,195.0,184.1,1244.51,1318.51,1396.91,0.65,,,0.378,100.1,22.5,60.3,13.65,521.670,1326.016,0.000,521.670,1531.076,25.178,521.670,1519.562,23.765,521.670,1508.744,22.436
39,F6,nylon,188.6,178.0,168.0,1318.51,1396.91,1479.98,0.65,,,0.378,93.4,21.0,56.4,13.62,535.320,1344.597,0.000,535.320,1531.791,22.985,535.320,1521.270,21.693,535.320,1511.345,20.474
40,G6,nylon,174.8,165.0,155.7,1479.98,1567.98,1661.22,0.60,,,0.322,86.3,19.4,61.0,13.58,548.940,1362.610,0.000,548.940,1536.107,21.303,548.940,1526.380,20.108,548.940,1517.149,18.975
41,A6,nylon,161.0,152.0,143.5,1661.22,1760.00,1864.66,0.55,,,0.271,77.4,17.4,65.3,13.53,562.520,1380.104,0.000,562.520,1539.903,19.621,562.520,1530.971,18.524,562.520,1522.534,17.488
42,B6,nylon,150.4,142.0,134.0,1864.66,1975.53,2093.00,0.51,,,0.233,64.9,14.6,71.8,13.50,576.050,1397.121,0.000,576.050,1546.400,18.329,576.050,1538.062,17.305,576.050,1530.122,16.330
43,C7,nylon,137.7,130.0,122.7,2093.00,2093.00,2217.46,0.48,,,0.206,60.9,13.7,67.5,13.46,589.550,1413.735,0.000,589.550,1550.409,16.781,589.550,1542.766,15.843,589.550,1535.521,14.953
44,D7,nylon,125.0,118.0,111.4,2217.46,2349.32,2489.02,0.45,,,0.181,55.6,12.5,70.1,13.44,603.010,1429.978,0.000,603.010,1554.047,15.234,603.010,1547.099,14.381,603.010,1540.548,13.576
45,E7,nylon,111.2,105.0,99.1,2489.02,2637.02,2793.83,0.42,,,0.158,48.5,10.9,69.9,13.42,616.450,1445.912,0.000,616.450,1556.283,13.552,616.450,1550.129,12.796,616.450,1544.273,12.077
46,F7,nylon,97.5,92.0,86.8,2793.83,2959.96,3135.96,0.42,,,0.158,41.8,9.4,60.3,13.42,629.870,1461.568,0.000,629.870,1558.342,11.882,629.870,1552.883,11.212,629.870,1547.721,10.578
47,G7,nylon,78.4,74.0,69.8,3135.96,3322.44,3520.00,0.42,,,0.158,33.8,7.6,49.1,,643.290,1477.000,0.000,643.290,1554.816,9.555,643.290,1550.448,9.018,643.290,1546.280,8.506
